symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2021-06-04 00:00:00-04,579.71,600.61,577.2,599.05,24496050.0,562999.0,593.933812
TSLA,2021-06-07 00:00:00-04,591.825,610.0,582.88,605.13,23005783.0,605314.0,593.118149
TSLA,2021-06-08 00:00:00-04,623.01,623.09,595.5,603.59,26777011.0,584232.0,606.265063
TSLA,2021-06-09 00:00:00-04,602.17,611.79,597.6301,598.78,16914012.0,384600.0,603.13508
TSLA,2021-06-10 00:00:00-04,603.88,616.59,600.5,610.12,24293275.0,507426.0,610.795573
TSLA,2021-06-11 00:00:00-04,610.23,612.56,601.52,609.89,16535293.0,378519.0,607.460243
TSLA,2021-06-14 00:00:00-04,612.23,625.49,609.18,617.69,20959949.0,460865.0,618.011953
TSLA,2021-06-15 00:00:00-04,616.69,616.79,598.23,599.36,18168954.0,438551.0,605.565674
TSLA,2021-06-16 00:00:00-04,597.535,608.5,593.5,604.87,22851893.0,476656.0,601.271463
TSLA,2021-06-17 00:00:00-04,601.8878,621.47,601.34,616.6,23498871.0,504011.0,614.815484
TSLA,2021-06-18 00:00:00-04,613.37,628.35,611.8,623.31,26192084.0,500949.0,620.486524
TSLA,2021-06-21 00:00:00-04,624.48,631.39,608.88,620.83,25222987.0,490854.0,620.845025
TSLA,2021-06-22 00:00:00-04,618.25,628.5693,615.5,623.71,19694588.0,376499.0,622.938154
TSLA,2021-06-23 00:00:00-04,632.0,657.204,630.04,656.57,31726538.0,675885.0,650.362214
TSLA,2021-06-24 00:00:00-04,674.99,697.62,667.61,679.82,46633877.0,979617.0,684.594569
TSLA,2021-06-25 00:00:00-04,689.58,693.81,668.7,671.87,33490338.0,604893.0,678.633824
TSLA,2021-06-28 00:00:00-04,671.64,694.6999,670.32,688.72,22042075.0,476432.0,686.634024
TSLA,2021-06-29 00:00:00-04,684.65,687.5099,675.89,680.76,17797370.0,392656.0,680.674432
TSLA,2021-06-30 00:00:00-04,679.77,692.81,678.14,679.7,19519239.0,424580.0,684.987326
TSLA,2021-07-01 00:00:00-04,683.92,687.99,672.8,677.92,18942491.0,401598.0,679.226548
TSLA,2021-07-02 00:00:00-04,678.9,700.0,673.26,678.9,27479899.0,556873.0,683.806843
TSLA,2021-07-06 00:00:00-04,681.7115,684.0,651.4002,659.58,23707724.0,609046.0,661.772964
TSLA,2021-07-07 00:00:00-04,664.27,665.7,638.32,644.65,19116741.0,434572.0,647.815175
TSLA,2021-07-08 00:00:00-04,628.37,654.43,620.46,652.81,23321697.0,474922.0,640.626214
TSLA,2021-07-09 00:00:00-04,653.185,658.91,644.69,656.95,18895294.0,364589.0,653.833242
TSLA,2021-07-12 00:00:00-04,662.2,687.24,662.161,685.7,26491509.0,541587.0,680.256823
TSLA,2021-07-13 00:00:00-04,686.32,693.28,666.2958,668.54,21289149.0,437105.0,677.333098
TSLA,2021-07-14 00:00:00-04,670.75,678.6099,652.84,653.38,21979326.0,432554.0,665.665249
TSLA,2021-07-15 00:00:00-04,658.39,666.14,637.88,650.6,20556034.0,431615.0,652.185523
TSLA,2021-07-16 00:00:00-04,654.68,656.6999,642.2,644.22,16850121.0,333345.0,646.951207
TSLA,2021-07-19 00:00:00-04,629.89,647.1999,621.29,646.22,21935946.0,482232.0,636.38287
TSLA,2021-07-20 00:00:00-04,651.99,662.3916,640.501,660.5,15998009.0,340666.0,650.878739
TSLA,2021-07-21 00:00:00-04,659.61,664.8599,650.2901,655.29,14333534.0,320579.0,657.342523
TSLA,2021-07-22 00:00:00-04,656.4428,662.17,644.6001,649.26,15418353.0,322069.0,652.285775
TSLA,2021-07-23 00:00:00-04,646.36,648.8,637.3001,643.38,14928553.0,343590.0,642.753365
TSLA,2021-07-26 00:00:00-04,650.97,668.1999,647.11,657.62,25851515.0,548241.0,658.479588
TSLA,2021-07-27 00:00:00-04,663.4,666.5,627.24,644.78,33429295.0,739730.0,642.122701
TSLA,2021-07-28 00:00:00-04,646.995,654.9699,639.4001,646.98,16308995.0,364633.0,647.164615
TSLA,2021-07-29 00:00:00-04,649.79,683.69,648.8,677.35,30890211.0,636940.0,673.188345
TSLA,2021-07-30 00:00:00-04,671.758,697.53,669.0,687.2,30074532.0,639424.0,686.882893
TSLA,2021-08-02 00:00:00-04,700.0,726.94,698.4,709.67,34661220.0,817721.0,715.992947
TSLA,2021-08-03 00:00:00-04,719.0,722.65,701.01,709.74,22176617.0,498439.0,710.466707
TSLA,2021-08-04 00:00:00-04,711.0,724.9,708.93,710.92,17397896.0,409212.0,714.417397
TSLA,2021-08-05 00:00:00-04,716.0,720.9499,711.41,714.63,13231098.0,324935.0,715.913648
TSLA,2021-08-06 00:00:00-04,711.9,716.33,697.63,699.1,16033021.0,409025.0,703.60597
TSLA,2021-08-09 00:00:00-04,710.17,719.03,705.13,713.76,15569679.0,339987.0,714.113635
TSLA,2021-08-10 00:00:00-04,713.99,716.59,701.88,709.99,14088137.0,321149.0,709.192277
TSLA,2021-08-11 00:00:00-04,712.71,715.18,704.21,707.82,10174556.0,256403.0,708.49957
TSLA,2021-08-12 00:00:00-04,706.34,722.8,699.4,722.25,18124945.0,398942.0,714.241166
TSLA,2021-08-13 00:00:00-04,723.71,729.9,714.34,717.17,17678903.0,359933.0,720.094411
TSLA,2021-08-16 00:00:00-04,705.07,709.5,676.4,686.17,23934709.0,625359.0,687.099898
TSLA,2021-08-17 00:00:00-04,672.66,674.58,648.84,665.71,24265619.0,620030.0,661.682327
TSLA,2021-08-18 00:00:00-04,669.7479,695.77,669.35,688.99,20834284.0,485568.0,687.249851
TSLA,2021-08-19 00:00:00-04,678.21,686.55,667.59,673.47,14631401.0,344518.0,676.845528
TSLA,2021-08-20 00:00:00-04,682.85,692.1299,673.7,680.26,15480461.0,334655.0,680.278977
TSLA,2021-08-23 00:00:00-04,685.442,712.1299,680.7505,706.3,20917215.0,461268.0,703.047424
TSLA,2021-08-24 00:00:00-04,710.68,715.22,702.64,708.49,13331889.0,309482.0,708.283945
TSLA,2021-08-25 00:00:00-04,707.03,716.97,704.0,711.2,13140733.0,292731.0,711.750606
TSLA,2021-08-26 00:00:00-04,708.31,715.4,697.6201,701.16,13535663.0,321320.0,705.539015
TSLA,2021-08-27 00:00:00-04,705.0,715.0,702.1001,711.92,14226833.0,317663.0,710.531839
TSLA,2021-08-30 00:00:00-04,714.715,731.0,712.73,730.91,18937972.0,468649.0,725.034858
TSLA,2021-08-31 00:00:00-04,733.0,740.39,726.44,735.72,22964324.0,421801.0,734.801536
TSLA,2021-09-01 00:00:00-04,734.08,741.99,731.2701,734.09,13612193.0,322500.0,736.484394
TSLA,2021-09-02 00:00:00-04,734.5,740.97,730.54,732.39,13153084.0,310317.0,735.38215
TSLA,2021-09-03 00:00:00-04,732.2494,734.0,724.2,733.57,15533677.0,355980.0,729.292211
TSLA,2021-09-07 00:00:00-04,740.0,760.2,739.26,752.92,20416032.0,499482.0,752.768032
TSLA,2021-09-08 00:00:00-04,761.58,764.45,740.7733,753.87,19160240.0,449475.0,752.531954
TSLA,2021-09-09 00:00:00-04,753.41,762.1,751.6301,754.86,14472239.0,331982.0,756.796981
TSLA,2021-09-10 00:00:00-04,759.6,762.61,734.5201,736.27,15480205.0,378382.0,749.408615
TSLA,2021-09-13 00:00:00-04,740.2143,744.78,708.85,743.0,23526061.0,506104.0,729.112067
TSLA,2021-09-14 00:00:00-04,742.57,754.47,736.4,744.49,18929417.0,391531.0,745.898304
TSLA,2021-09-15 00:00:00-04,745.0,756.86,738.36,755.83,16058396.0,351298.0,749.193587
TSLA,2021-09-16 00:00:00-04,752.83,758.91,747.61,756.99,14603360.0,289973.0,753.438174
TSLA,2021-09-17 00:00:00-04,757.15,761.04,750.0,759.49,35938669.0,382206.0,758.092989
TSLA,2021-09-20 00:00:00-04,734.5577,742.0,718.6249,730.17,25471332.0,553757.0,729.499049
TSLA,2021-09-21 00:00:00-04,734.79,744.7399,730.44,739.38,17152159.0,314321.0,739.454385
TSLA,2021-09-22 00:00:00-04,743.5263,753.6699,739.12,751.94,15753275.0,318997.0,747.859444
TSLA,2021-09-23 00:00:00-04,755.0,758.2,747.92,753.64,12283745.0,286249.0,753.351921
TSLA,2021-09-24 00:00:00-04,745.89,774.8,744.56,774.39,21818322.0,470014.0,763.535408
TSLA,2021-09-27 00:00:00-04,773.12,799.0,769.31,791.36,28842443.0,606222.0,787.275775
TSLA,2021-09-28 00:00:00-04,787.2,795.64,766.1801,777.56,26182426.0,536347.0,780.585622
TSLA,2021-09-29 00:00:00-04,779.8,793.5,770.68,781.31,21363938.0,417686.0,782.390081
TSLA,2021-09-30 00:00:00-04,781.0,789.1305,775.0,775.48,18710564.0,363904.0,781.83323
TSLA,2021-10-01 00:00:00-04,778.4,780.78,763.59,775.22,17689952.0,363028.0,772.297878
TSLA,2021-10-04 00:00:00-04,796.5,806.9699,776.12,781.53,31386257.0,640563.0,790.029199
TSLA,2021-10-05 00:00:00-04,784.7962,797.31,774.2,780.59,18860630.0,401580.0,785.217067
TSLA,2021-10-06 00:00:00-04,776.2,786.66,773.22,782.75,15009105.0,333068.0,781.009013
TSLA,2021-10-07 00:00:00-04,785.46,805.0,783.38,793.61,20052029.0,412495.0,792.195761
TSLA,2021-10-08 00:00:00-04,796.21,796.38,780.91,785.49,17016248.0,400903.0,787.091599
TSLA,2021-10-11 00:00:00-04,787.65,801.24,785.5,791.94,14464306.0,346232.0,794.93484
TSLA,2021-10-12 00:00:00-04,800.93,812.32,796.57,805.72,22918978.0,499674.0,806.679932
TSLA,2021-10-13 00:00:00-04,810.47,815.41,805.78,811.08,14470404.0,347504.0,809.650187
TSLA,2021-10-14 00:00:00-04,815.49,820.25,813.3501,818.32,12701953.0,304271.0,817.373357
TSLA,2021-10-15 00:00:00-04,823.7384,843.21,822.35,843.03,19439060.0,450800.0,833.161049
TSLA,2021-10-18 00:00:00-04,851.79,875.26,851.47,870.11,25246436.0,595633.0,865.394618
TSLA,2021-10-19 00:00:00-04,877.53,877.95,862.51,864.27,17808882.0,478946.0,869.709028
TSLA,2021-10-20 00:00:00-04,865.35,869.49,857.38,865.8,14335208.0,402600.0,864.817961
TSLA,2021-10-21 00:00:00-04,856.0,900.0,855.5046,894.0,32096479.0,737893.0,889.393738
TSLA,2021-10-22 00:00:00-04,895.5,910.0,890.96,909.68,23564778.0,575737.0,904.442115
TSLA,2021-10-25 00:00:00-04,950.53,1045.02,944.2,1024.86,63703870.0,1654914.0,991.433318
TSLA,2021-10-26 00:00:00-04,1024.69,1094.94,1001.44,1018.43,63161058.0,1717724.0,1043.648138
TSLA,2021-10-27 00:00:00-04,1039.66,1070.88,1030.78,1037.86,39387863.0,935168.0,1048.750234
TSLA,2021-10-28 00:00:00-04,1068.305,1081.0,1054.2,1077.04,27853700.0,665904.0,1069.96052
TSLA,2021-10-29 00:00:00-04,1081.86,1115.21,1073.205,1114.0,30566107.0,756514.0,1096.132644
TSLA,2021-11-01 00:00:00-04,1145.0,1209.75,1118.66,1208.59,57142797.0,1373417.0,1166.270728
TSLA,2021-11-02 00:00:00-04,1159.355,1208.59,1146.0,1172.0,43499255.0,1230067.0,1177.785054
TSLA,2021-11-03 00:00:00-04,1177.33,1215.39,1152.62,1213.86,35071050.0,880463.0,1184.912286
TSLA,2021-11-04 00:00:00-04,1234.41,1243.49,1217.0,1229.91,25934479.0,765006.0,1233.254785
